iter	RMSE
0	102.02509
1	99.48067439
2	97.08042187
3	94.83659509
4	92.78226199
5	90.72297406
6	88.68756719
7	86.7792644
8	84.98540333
9	83.30593456
10	81.66837535
11	80.15923389
12	78.7570314
13	77.46711232
14	76.15603563
15	74.88846387
16	73.76889781
17	72.6745003
18	71.63122858
19	70.66756541
20	69.77581211
21	68.90150037
22	68.12638527
23	67.37846025
24	66.69063458
25	66.02790028
26	65.39083674
27	64.82428524
28	64.25617399
29	63.63412633
30	63.12840161
31	62.63886126
32	62.19309378
33	61.76745116
34	61.31697344
35	60.93188812
36	60.56976379
37	60.26213766
38	59.93900747
39	59.5826627
40	59.31904218
41	58.97607392
42	58.70359617
43	58.47728864
44	58.19701523
45	57.93848812
46	57.69247682
47	57.45810317
48	57.24045416
49	57.07342664
50	56.88025858
51	56.72024203
52	56.51364775
53	56.31863015
54	56.18586299
55	56.02241661
56	55.87425985
57	55.71415963
58	55.57416213
59	55.40356351
60	55.29214405
61	55.15260478
62	54.99506021
63	54.91335986
64	54.81955472
65	54.6850081
66	54.57070954
67	54.40677828
68	54.29466737
69	54.19154129
70	54.12984406
71	53.99018669
72	53.90287443
73	53.8306384
74	53.75585032
75	53.68993094
76	53.58280149
77	53.49383931
78	53.40913631
79	53.33876239
80	53.28774221
81	53.20101992
82	53.10510457
83	53.04331524
84	52.93544014
85	52.83680347
86	52.77487057
87	52.72677891
88	52.66492851
89	52.6125566
90	52.54805227
91	52.50551962
92	52.45864452
93	52.41499429
94	52.35163333
95	52.29603063
96	52.22141222
97	52.18462197
98	52.13845441
99	52.10412197
100	52.06932921
101	52.03496904
102	51.93915804
103	51.88356467
104	51.84747385
105	51.78727518
106	51.75373973
107	51.70154591
108	51.67219231
109	51.62124335
110	51.5731655
111	51.53214818
112	51.501971
113	51.45599828
114	51.41962319
115	51.373882
116	51.31963752
117	51.28688734
118	51.23890935
119	51.18930862
120	51.15661832
121	51.09418912
122	51.03614872
123	50.99306831
124	50.94043927
125	50.8998656
126	50.8405134
127	50.79368424
128	50.76699
129	50.74083642
130	50.71339323
131	50.67106775
132	50.62266231
133	50.58641885
134	50.54734881
135	50.49519849
136	50.46082236
137	50.41533334
138	50.37366052
139	50.3592681
140	50.33648331
141	50.2941995
142	50.27389195
143	50.25610852
144	50.22387746
145	50.18604056
146	50.13359187
147	50.10628756
148	50.06357553
149	50.03945699
150	50.00119709
151	49.98802953
152	49.95749676
153	49.90543723
154	49.88999469
155	49.84436845
156	49.81098322
157	49.77264647
158	49.75305089
159	49.73019993
160	49.71378809
161	49.66590685
162	49.63753667
163	49.60716854
164	49.57456947
165	49.54654867
166	49.53036345
167	49.48781006
168	49.45834185
169	49.44326816
170	49.42468444
171	49.39458866
172	49.36133846
173	49.31732813
174	49.29422526
175	49.25878949
176	49.2258592
177	49.19871688
178	49.17457553
179	49.12147993
180	49.06822013
181	49.05017967
182	49.00135959
183	48.96787169
184	48.9227053
185	48.88469538
186	48.85808243
187	48.8268637
188	48.80812617
189	48.76717563
190	48.73471455
191	48.70921202
192	48.68430808
193	48.65383065
194	48.61808324
195	48.59708364
196	48.56213169
197	48.53706752
198	48.49160835
199	48.46018278
200	48.43060687
201	48.40297953
202	48.37489867
203	48.34498944
204	48.31726923
205	48.28961579
206	48.2594594
207	48.23358069
208	48.22268693
209	48.1995906
210	48.17851763
211	48.15379285
212	48.11915153
213	48.09368159
214	48.06969706
215	48.04921178
216	48.0131007
217	47.96843567
218	47.93695942
219	47.91704302
220	47.89783244
221	47.88394098
222	47.85970989
223	47.82837969
224	47.80513255
225	47.79585949
226	47.78549638
227	47.76815943
228	47.75657321
229	47.70788597
230	47.69316727
231	47.6724867
232	47.65324372
233	47.63320364
234	47.59180355
235	47.57780993
236	47.5575665
237	47.51979795
238	47.49820663
239	47.46041772
240	47.44139188
241	47.41464817
242	47.39241455
243	47.38152323
244	47.34341774
245	47.32053828
246	47.30034555
247	47.28067003
248	47.26128032
249	47.24474407
250	47.22576679
251	47.20171887
252	47.1648966
253	47.13463376
254	47.09221601
255	47.07318712
256	47.06225542
257	47.0468637
258	47.03626071
259	47.01929259
260	46.98368524
261	46.96694429
262	46.93326277
263	46.91929874
264	46.90756243
265	46.86803367
266	46.85252517
267	46.8370236
268	46.77869653
269	46.76921745
270	46.74446262
271	46.70800377
272	46.67239411
273	46.63774997
274	46.62318977
275	46.60878516
276	46.57939013
277	46.54572518
278	46.50703535
279	46.4660226
280	46.44467549
281	46.41238778
282	46.38361436
283	46.37078091
284	46.36239062
285	46.35134978
286	46.29183675
287	46.26063965
288	46.23009109
289	46.19562807
290	46.18143753
291	46.16701203
292	46.15298547
293	46.13317552
294	46.12153162
295	46.09397447
296	46.0485031
297	46.01830256
298	45.98032783
299	45.96662632
300	45.95438216
301	45.92341899
302	45.89437306
303	45.84703113
304	45.83638212
305	45.79552641
306	45.7304643
307	45.69605908
308	45.68486061
309	45.66693151
310	45.6553852
311	45.64766816
312	45.63593378
313	45.61338788
314	45.5449171
315	45.51355919
316	45.486513
317	45.47665669
318	45.45943967
319	45.45008257
320	45.44051833
321	45.414381
322	45.39679736
323	45.38573847
324	45.35476374
325	45.32907573
326	45.30667308
327	45.27777614
328	45.2370449
329	45.2201207
330	45.19517665
331	45.14897053
332	45.12983681
333	45.11240855
334	45.07882116
335	45.06530263
336	45.04515775
337	45.02415649
338	45.00127819
339	44.98265178
340	44.95894571
341	44.9042082
342	44.87741974
343	44.85020574
344	44.81685286
345	44.80661848
346	44.77585286
347	44.76513596
348	44.72447494
349	44.68335645
350	44.65934003
351	44.62733437
352	44.59420182
353	44.5842931
354	44.55585538
355	44.51817656
356	44.48254413
357	44.460287
358	44.43205343
359	44.41416237
360	44.39900836
361	44.38359755
362	44.36898563
363	44.35276457
364	44.3211237
365	44.28203229
366	44.24372444
367	44.20619522
368	44.19740069
369	44.15532407
370	44.13363124
371	44.12288302
372	44.10353642
373	44.08199527
374	44.03648824
375	44.0022331
376	43.99291873
377	43.95947743
378	43.94026583
379	43.92369479
380	43.88431877
381	43.85154597
382	43.82546069
383	43.80580864
384	43.77524535
385	43.74865307
386	43.71664138
387	43.71104153
388	43.6799101
389	43.6483711
390	43.63117815
391	43.62286601
392	43.58522213
393	43.55739665
394	43.53990321
395	43.52424558
396	43.49052336
397	43.48142335
398	43.45083419
399	43.43457132
400	43.42129597
401	43.38467783
402	43.37194693
403	43.34927294
404	43.34052345
405	43.31131041
406	43.28291002
407	43.2616734
408	43.22917092
409	43.22069354
410	43.19213411
411	43.15658801
412	43.1437226
413	43.10732029
414	43.09780274
415	43.06037506
416	43.02624087
417	42.99855382
418	42.9866009
419	42.97416995
420	42.95169667
421	42.93416381
422	42.92689322
423	42.90065722
424	42.87575398
425	42.83648807
426	42.8197253
427	42.80294037
428	42.79501955
429	42.76944486
430	42.73886376
431	42.72343403
432	42.71071759
433	42.67069094
434	42.65532689
435	42.64269969
436	42.63475669
437	42.6018918
438	42.58588747
439	42.55225609
440	42.5274277
441	42.51976159
442	42.49468569
443	42.48828918
444	42.4757912
445	42.43213565
446	42.40733825
447	42.37624405
448	42.35891949
449	42.35011745
450	42.3351207
451	42.31981305
452	42.28286001
453	42.25777703
454	42.24786151
455	42.23710554
456	42.22626278
457	42.19149381
458	42.17345223
459	42.1471326
460	42.11259522
461	42.09491293
462	42.07014908
463	42.05681215
464	42.03278264
465	41.99271673
466	41.96333694
467	41.93903469
468	41.92124224
469	41.89754316
470	41.87448683
471	41.85841697
472	41.83609355
473	41.81448106
474	41.79990152
475	41.79055982
476	41.77764
477	41.75169133
478	41.73943933
479	41.71810252
480	41.68887917
481	41.67700739
482	41.65635491
483	41.6510703
484	41.64390067
485	41.62441646
486	41.59435936
487	41.58057854
488	41.55968779
489	41.53945091
490	41.51629166
491	41.50236101
492	41.49605407
493	41.46591719
494	41.45597503
495	41.44948301
496	41.43569161
497	41.43009665
498	41.40855981
499	41.40147825
500	41.39178069
501	41.38042917
502	41.36528906
503	41.32834085
504	41.31476441
505	41.30190187
506	41.29305547
507	41.27815352
508	41.27085276
509	41.24565903
510	41.21780545
511	41.20063085
512	41.18059674
513	41.16118068
514	41.15445017
515	41.14289777
516	41.11856094
517	41.09978397
518	41.08213518
519	41.04188195
520	41.02101579
521	41.01596053
522	41.00241657
523	40.99085566
524	40.97789813
525	40.95963113
